年      龄,合计
总  计,114261590
15-19岁,7788415
,
,
,
,
,
20-24岁,7303273
,
,
,
,
,
,
25-29岁,8893917
,
,
,
,
,
,
30-34岁,12398651
,
,
,
,
,
,
35-39岁,9915280
,
,
,
,
,
,
40-44岁,9246332
,
,
,
,
,
,
45-49岁,11286279
