city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
青岛,13-Apr,14,6,21,2,0,0,2013/4/1,0,2013/4/1
青岛,13-Mar,8,2,23,-2,0,0,2013/3/1,0,2013/3/1
青岛,13-Feb,3,-1,9,-9,0,0,2013/2/1,0,2013/2/1
青岛,13-Jan,1,-3,7,-10,0,0,2013/1/1,0,2013/1/1
青岛,12-Dec,3,-2,9,-10,0,0,2012/12/1,0,2012/12/1
青岛,12-Nov,11,5,17,0,0,0,2012/11/1,0,2012/11/1
青岛,12-Oct,21,14,25,6,0,0,2012/10/1,0,2012/10/1
青岛,12-Sep,25,19,28,13,0,0,2012/9/1,0,2012/9/1
青岛,12-Aug,28,22,32,18,0,0,2012/8/1,0,2012/8/1
青岛,12-Jul,27,22,30,21,0,0,2012/7/1,0,2012/7/1
青岛,12-Jun,23,18,26,17,0,0,2012/6/1,0,2012/6/1
青岛,12-May,22,14,29,10,0,0,2012/5/1,0,2012/5/1
青岛,12-Apr,15,9,22,7,0,0,2012/4/1,0,2012/4/1
青岛,12-Mar,8,1,17,-3,0,0,2012/3/1,0,2012/3/1
青岛,12-Feb,3,-2,7,-9,0,0,2012/2/1,0,2012/2/1
青岛,12-Jan,2,-2,6,-8,0,0,2012/1/1,0,2012/1/1
青岛,11-Dec,4,0,9,-4,0,0,2011/12/1,0,2011/12/1
青岛,11-Nov,14,8,19,-1,0,0,2011/11/1,0,2011/11/1
青岛,11-Oct,19,13,23,8,0,0,2011/10/1,0,2011/10/1
青岛,11-Sep,24,17,30,13,0,0,2011/9/1,0,2011/9/1
青岛,11-Aug,27,22,30,20,0,0,2011/8/1,0,2011/8/1
青岛,11-Jul,26,22,31,20,0,0,2011/7/1,0,2011/7/1
青岛,11-Jun,23,17,29,16,0,0,2011/6/1,0,2011/6/1
青岛,11-May,21,14,27,11,0,0,2011/5/1,0,2011/5/1
青岛,11-Apr,15,7,23,2,0,0,2011/4/1,0,2011/4/1
青岛,11-Mar,9,2,14,-2,0,0,2011/3/1,0,2011/3/1
青岛,11-Feb,5,-1,12,-6,0,0,2011/2/1,0,2011/2/1
青岛,11-Jan,0,-4,5,-7,0,0,2011/1/1,0,2011/1/1
