国家,地震,总计,a,b
阿尔巴尼亚,47,217,0.216589862,0
阿富汗,11542,20608,0.560073758,0.2
阿塞拜疆,33,68,0.485294118,0
埃及,594,1779,0.333895447,0
保加利亚,131,313,0.418530351,0
黎巴嫩,136,642,0.211838006,0
罗马尼亚,2630,4931,0.533360373,0
中国,876527,11182958,0.078380604,0.13
